"Path","Model","SourceStem","Case","Feature","PlanPath","MethodName","Status","TotalSteps","ExecutedSteps","FailedStepSeq","FailedTool","LocatorFailures","Notes"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_1/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_1/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_1/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_10/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_10/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_10/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_2/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_2/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_2/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_3/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_3/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_3/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_4/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
